record_ID,units_sold
212645,18.3
212646,18.3
212647,18.3
212648,18.3
212649,18.3
212653,13.8
212654,13.8
212657,13.8
212658,13.8
212661,18.3
212662,18.3
212663,18.3
212666,18.3
212667,18.3
212668,18.3
212671,13.8
212672,13.0
212673,13.8
212674,18.3
212675,12.7
212676,12.7
212677,13.8
212678,13.8
212679,13.8
212681,13.8
212682,13.8
212683,18.3
212686,18.3
212687,18.3
212688,18.6
212689,18.3
212691,18.3
212692,18.3
212693,18.3
212694,13.8
212695,13.8
212696,13.8
212697,13.0
212698,13.8
212699,16.6
212700,13.8
212701,13.8
212702,13.8
212703,13.8
212704,13.8
212705,13.8
212706,13.8
212707,13.8
212709,17.3
212710,14.7
212711,14.7
212712,18.3
212713,18.3
212716,18.3
212717,18.3
212718,13.8
212719,13.8
212721,18.3
212722,13.8
212723,16.7
212724,13.0
212725,13.0
212727,13.8
212728,12.7
212729,12.2
212731,13.8
212732,13.8
212734,17.3
212735,14.7
212736,14.7
212737,18.3
212738,18.3
212739,18.3
212740,18.3
212742,18.3
212743,18.3
212744,18.3
212748,13.8
212749,13.8
212750,18.3
212751,12.7
212752,12.7
212754,13.8
212755,13.8
212756,14.8
212757,13.8
212758,13.8
212759,13.8
212760,13.8
212761,18.3
212763,13.8
212764,18.3
212765,18.3
212767,18.3
212768,18.3
212769,18.3
212772,13.8
212773,12.7
212774,13.8
212775,18.3
212776,12.7
212777,12.7
212778,13.8
212779,13.8
212782,13.8
212783,13.8
212787,18.3
212788,18.3
212789,18.3
212790,18.3
212792,18.3
212793,18.3
212794,18.3
212796,11.7
212797,15.8
212798,18.3
212799,12.7
212800,12.7
212802,13.8
212803,13.8
212805,13.8
212806,13.8
212807,13.8
212809,18.3
212812,18.3
212816,18.3
212817,18.3
212818,18.3
212819,13.8
212820,13.8
212821,13.8
212822,18.3
212823,13.8
212824,16.7
212825,13.8
212826,13.8
212828,13.8
212829,12.7
212830,12.2
212831,13.8
212832,13.8
212833,13.8
212834,18.3
212835,18.6
212837,18.3
212838,18.3
212839,18.3
212840,13.8
212843,18.3
212844,13.8
212845,18.3
212846,13.8
212849,18.3
212850,13.0
212853,13.8
212856,18.6
212857,18.3
212860,18.3
212861,18.3
212862,18.3
212863,13.8
212866,18.3
212867,13.8
212868,16.6
212869,13.8
212870,13.8
212872,13.8
212873,12.7
212874,12.2
212875,13.8
212876,13.8
212877,13.8
212879,17.3
212880,14.7
212881,14.7
212884,18.3
212885,18.3
212886,18.3
212888,13.8
212889,13.0
212890,13.8
212891,18.3
212892,13.8
212893,13.8
212896,13.8
212899,18.3
212900,18.3
212901,18.3
212902,18.3
212903,13.8
212905,17.3
212906,13.8
212907,16.6
212910,13.8
212911,13.8
212914,13.8
212915,18.3
212916,18.3
212917,18.3
212919,18.3
212920,18.3
212921,18.3
212924,13.8
212925,13.8
212926,18.3
212927,12.7
212929,13.8
212930,13.8
212931,13.8
212932,13.8
212933,13.8
212934,13.8
212935,18.3
212936,18.3
212937,18.3
212938,18.3
212940,18.3
212941,18.3
212942,18.3
212946,13.8
212947,13.8
212948,18.3
212949,13.8
212950,13.8
212951,13.8
212952,13.8
212954,13.8
212955,18.3
212956,18.6
212959,18.3
212960,18.3
212964,18.3
212965,13.8
212966,18.3
212967,13.8
212968,13.8
212969,13.8
212970,13.0
212971,12.2
212973,13.8
212974,13.8
212977,18.3
212978,18.6
212979,18.6
212981,18.3
212982,18.3
212983,18.3
212984,13.8
212985,13.8
212986,13.8
212987,13.0
212988,13.8
212989,18.3
212990,13.8
212991,13.8
212993,13.8
212994,13.8
212995,13.8
212996,13.8
212997,13.8
212998,13.8
212999,13.8
213001,18.3
213002,18.3
213006,18.3
213007,18.3
213011,18.3
213012,13.8
213013,16.6
213016,12.2
213017,13.0
213020,13.8
213021,18.3
213022,18.3
213023,18.3
213025,18.3
213026,18.3
213027,18.3
213031,13.8
213032,13.8
213033,18.3
213034,12.7
213035,12.7
213036,13.8
213037,16.7
213038,14.7
213039,13.8
213040,13.8
213041,13.8
213043,18.3
213048,18.3
213049,18.3
213050,18.3
213053,18.3
213054,18.3
213055,18.3
213056,13.8
213059,13.8
213060,13.8
213061,18.3
213064,13.8
213065,15.8
213066,15.8
213068,13.8
213069,13.8
213070,15.8
213072,18.6
213073,18.3
213074,18.3
213076,18.3
213077,18.3
213078,18.3
213079,13.8
213080,13.8
213081,13.8
213082,18.3
213083,13.8
213084,16.7
213085,13.8
213086,13.8
213087,13.8
213088,12.7
213089,12.2
213090,13.8
213091,13.8
213092,13.8
213093,13.8
213094,17.3
213096,14.7
213097,18.3
213098,18.6
213100,18.3
213101,18.3
213102,18.3
213103,13.8
213105,13.8
213106,18.3
213107,13.8
213108,16.7
213109,13.8
213110,12.7
213111,12.2
213113,13.8
213114,13.8
213115,18.3
213123,13.8
213127,18.3
213128,18.3
213129,18.3
213131,18.3
213132,18.3
213133,18.3
213135,12.7
213136,13.8
213137,18.3
213138,12.7
213140,13.8
213141,13.8
213142,16.7
213145,13.8
213147,18.3
213148,18.3
213149,18.3
213150,18.3
213151,18.3
213152,18.3
213153,13.8
213154,18.3
213155,13.8
213156,18.6
213157,13.0
213158,13.0
213159,13.8
213160,12.7
213161,13.0
213162,13.8
213163,13.8
213164,13.8
213167,14.7
213168,14.7
213169,18.3
213170,18.3
213171,18.3
213174,18.3
213175,18.3
213176,18.3
213179,13.8
213180,13.0
213181,13.8
213182,18.3
213183,12.7
213187,13.8
213188,13.8
213189,18.3
213191,13.8
213192,13.8
213194,18.3
213195,13.8
213197,18.3
213199,18.3
213200,18.3
213202,13.8
213204,18.3
213205,13.8
213206,18.3
213207,13.8
213208,12.7
213209,12.2
213215,18.3
213216,18.3
213217,18.3
213219,18.3
213220,18.3
213221,18.3
213225,13.8
213226,13.8
213227,18.3
213230,13.8
213231,13.8
213233,13.8
213235,13.8
213236,18.3
213238,18.3
213239,18.3
213240,18.3
213241,18.3
213242,18.3
213243,18.3
213245,13.8
213246,13.8
213247,18.3
213248,12.7
213249,12.7
213250,13.8
213251,13.8
213252,13.8
213254,13.8
213255,13.8
213256,13.8
213257,18.3
213260,18.3
213265,18.3
213268,13.8
213269,12.7
213270,18.3
213273,13.8
213275,18.6
213276,18.6
213278,18.3
213279,18.3
213280,18.3
213281,18.3
213282,13.8
213283,13.8
213285,13.0
213286,13.8
213287,16.6
213288,13.8
213289,13.8
213292,13.8
213293,13.8
213294,13.8
213296,13.8
213297,13.8
213301,18.3
213303,18.3
213304,18.3
213305,18.3
213306,18.3
213308,13.8
213309,13.8
213310,16.4
213311,13.8
213312,18.3
213314,13.8
213315,13.8
213316,13.8
213317,13.8
213320,18.3
213321,18.3
213322,18.3
213325,18.3
213326,18.3
213327,18.3
213330,13.8
213331,13.8
213332,13.8
213333,18.3
213334,12.7
213335,12.7
213336,13.8
213337,13.8
213338,13.8
213340,13.8
213341,13.8
213343,18.3
213346,18.3
213347,18.3
213348,18.3
213351,18.3
213352,18.3
213353,18.3
213354,13.8
213355,13.8
213356,13.8
213357,11.7
213358,13.8
213359,18.3
213360,13.8
213361,13.8
213363,13.0
213364,17.3
213365,13.8
213366,13.8
213367,13.8
213369,18.3
213370,18.6
213371,18.3
213372,18.3
213373,18.3
213374,18.3
213375,13.8
213376,13.8
213377,13.8
213378,18.3
213379,13.8
213380,16.7
213381,13.8
213382,13.8
213383,13.8
213384,12.7
213385,11.7
213387,13.8
213388,13.8
213390,17.3
213391,18.6
213392,18.3
213394,18.3
213395,18.3
213396,18.3
213399,17.3
213400,13.8
213401,18.3
213403,13.8
213404,13.8
213408,13.8
213409,17.3
213410,14.7
213411,14.7
213412,18.6
213413,18.3
213414,18.6
213415,18.3
213416,18.3
213417,18.3
213418,13.8
213419,13.8
213420,13.8
213421,18.3
213422,13.8
213423,18.3
213425,13.8
213426,13.8
213427,13.8
213428,13.8
213431,13.8
213432,17.3
213434,14.7
213435,18.3
213436,18.3
213437,18.3
213439,18.3
213440,18.3
213441,18.3
213444,13.8
213445,12.7
213446,13.8
213447,18.3
213448,13.8
213449,13.8
213454,18.3
213455,18.3
213456,18.3
213457,18.3
213458,18.3
213461,13.8
213462,13.8
213463,18.3
213466,13.8
213467,13.8
213471,18.3
213472,18.3
213473,18.3
213474,18.3
213476,18.3
213477,18.3
213478,18.3
213479,13.0
213480,13.8
213481,18.3
213484,13.8
213485,13.8
213486,13.8
213488,13.8
213489,13.8
213490,18.3
213491,15.8
213494,18.3
213495,18.3
213496,18.3
213497,18.3
213502,18.3
213503,13.8
213505,13.8
213506,12.7
213507,12.2
213510,18.3
213511,18.6
213512,18.3
213514,18.3
213516,18.3
213517,13.8
213518,16.6
