record_ID,units_sold
212645,-313711.19158980227
212646,-313712.69458735094
212647,-313723.75281637715
212648,-313448.68510762125
212649,-315110.47577567183
212653,-317434.0777646842
212654,-317474.83140695415
212657,-323504.2365069881
212658,-323373.06640896585
212661,-313711.3672548123
212662,-313712.7998991288
212663,-433484.65968866664
212666,-313723.71742169047
212667,-313448.64971293457
212668,-315110.44038098527
212671,-318566.9846304307
212672,-317432.63530535327
212673,-317474.86636549974
212674,-321745.3953046225
212675,-462812.56455213804
212676,-546508.803422096
212677,-322818.6424373782
212678,-323504.2714655337
212679,-323371.2018302416
212681,-355174.06019762286
212682,-355104.5402688573
212683,-788661.2976616375
212686,-313669.32771978155
212687,-313671.385141489
212688,-433482.610705296
212689,-433871.81668062933
212691,-313723.14585619635
212692,-313448.50026683375
212693,-315110.2205816522
212694,-314821.67720680096
212695,-315624.4504966312
212696,-318585.8979809376
212697,-317432.1340930914
212698,-317473.450561219
212699,-321742.5440909603
212700,-462814.6664094681
212701,-546549.605583324
212702,-322817.15627986524
212703,-323505.03661145165
212704,-323372.67050848174
212705,-574808.3082365511
212706,-355170.9275710318
212707,-355060.7923132152
212709,-788663.9623448254
212710,-976418.1126999066
212711,-786975.0737149518
212712,-313668.06475961796
212713,-313710.1985741009
212716,-313448.51075103437
212717,-315106.5726977775
212718,-314858.68666047236
212719,-315662.5842865033
212721,-317430.10433355765
212722,-317471.4911549176
212723,-321747.2094298263
212724,-462811.58135145117
212725,-546548.2090028803
212727,-322816.88535113697
212728,-323501.9515534347
212729,-323370.0779230903
212731,-355173.1557518673
212732,-355060.068289327
212734,-788663.6914160971
212735,-976458.2305526494
212736,-787015.0747508125
212737,-313710.7380009918
212738,-313671.7818638372
212739,-433484.17114131054
212740,-433871.758992303
212742,-313723.86205342435
212743,-313448.653638204
212744,-315109.6704207003
212748,-317433.2020564804
212749,-317474.2371116792
212750,-321748.93683454086
212751,-462811.9352983175
212752,-546548.5629497465
212754,-322818.01318355766
212755,-323503.6422117132
212756,-323354.4496362937
212757,-574807.9381595294
212758,-355173.43094380235
212759,-355103.2313722969
212760,-864627.2601532686
212761,-788619.5070563062
212763,-785364.6911184166
212764,-313710.9735350334
212765,-313672.2439454588
212767,-313724.1679406982
212768,-313449.0298787101
212769,-315110.1170144386
212772,-318567.864355016
212773,-317433.2265308254
212774,-317474.5429989531
212775,-321753.82590773323
212776,-462812.2411855914
212777,-546548.8688370204
212778,-322818.3190708315
212779,-323503.94809898705
212782,-355133.34804960515
212783,-355063.1484780997
212787,-313712.4771886346
212788,-313713.9098329511
212789,-433485.76962248894
212790,-433854.34114052344
212792,-313725.6012410672
212793,-313450.5335323113
212794,-315111.4799615753
212796,-317434.3080650333
212797,-317427.8933470237
212798,-321750.98841087916
212799,-462813.6744859604
212800,-546550.3021373893
212802,-322819.7523712005
212803,-323505.381399356
212805,-574807.8649665326
212806,-355134.7813499741
212807,-355064.5817784687
212809,-788662.4075954598
212812,-313709.4135351599
212816,-313723.73359254014
212817,-313448.31411762314
212818,-315106.5167708308
212819,-314861.73204641265
212820,-315663.61463380646
212821,-318584.743689874
212822,-317430.8222921653
212823,-317471.99805382855
212824,-321748.0132295494
212825,-462814.26920056087
212826,-546551.5300310799
212828,-322817.39225004794
212829,-323502.4584523457
212830,-323370.5848220013
212831,-574846.8166205687
212832,-355171.1635412145
212833,-355108.9298814435
212834,-313710.0502201937
212835,-313711.764277439
212837,-313724.3702775739
212838,-313448.95080265694
212839,-315107.2238090968
212840,-314821.65207339666
212843,-317425.2957288905
212844,-317472.84579855896
212845,-321753.7339748262
212846,-462814.9762388269
212849,-323470.4567979834
212850,-323370.7993876418
212853,-355085.16447382397
212856,-313712.6295014422
212857,-433484.2782312835
212860,-313725.79832743487
212861,-313450.1677928212
212862,-315108.58150572545
212863,-314862.851213522
212866,-317432.11314150563
212867,-317473.7110225622
212868,-321745.6412556597
212869,-462816.1932289912
212870,-546552.3987610269
212872,-322819.10521878157
212873,-323504.1714210794
212874,-323372.2977907349
212875,-574805.5713450355
212876,-355132.714276057
212877,-355102.90348602267
212879,-788665.9112837417
212880,-976420.0616388229
212881,-787015.9353329773
212884,-313725.32333408215
212885,-313450.185272094
212886,-315111.6945272158
212888,-318627.4257452092
212889,-317434.38192420936
212890,-317475.4169794081
212891,-321748.4308557261
212892,-322819.12269805436
212893,-323507.00302964076
212896,-355133.1848504897
212899,-433874.42109227536
212900,-313725.96132753906
212901,-313450.75291231874
212902,-315112.6139336016
212903,-315673.09766203334
212905,-317434.24603211187
212906,-317476.05497286504
212907,-321784.63109375763
212910,-322818.9868059569
212911,-323507.64102309773
212914,-355104.4257716066
212915,-313714.08571787254
212916,-313715.4480089568
212917,-433487.3781517269
212919,-313726.99871060846
212920,-313452.00135508477
212921,-315112.9477843488
212924,-317436.9015395223
212925,-317477.5144753278
212926,-321755.17348909733
212927,-462815.2126619661
212929,-322821.0091342773
212930,-323468.56132041116
212931,-323375.81983057165
212932,-574803.1553686289
212933,-355136.31952597987
212934,-355107.7582907274
212935,-788664.3678908589
212936,-313713.4700180554
212937,-313715.4654882296
212938,-433487.3956309997
212940,-313727.1568963457
212941,-313452.01883435756
212942,-315113.1763233183
212946,-317436.77831233066
212947,-317476.5470093495
212948,-321755.7776838102
212949,-322821.308026479
212950,-323506.9370546345
212951,-323375.7669566123
212952,-574809.4206218111
212954,-355106.5262152183
212955,-313711.8331060185
212956,-313713.5471632638
212959,-313450.73368848173
212960,-315109.7102272437
212964,-317433.6639824172
212965,-317474.62868438376
212966,-321750.54961729015
212967,-462817.25159727724
212968,-546553.5274825451
212969,-322819.74146767426
212970,-323504.10413764993
212971,-323373.2154525565
212973,-355133.4053902987
212974,-355104.50079058413
212977,-313711.9729402008
212978,-313713.6869974461
212979,-433485.6171402162
212981,-313726.3633508133
212982,-313451.22528882517
212983,-315112.87525041134
212984,-314822.7234684329
212985,-315626.37905900064
212986,-318586.83451187174
212987,-317435.14052801166
212988,-317476.45699613926
212989,-321749.9155659181
212990,-462817.0396652984
212991,-546553.526610263
212993,-322820.1627147855
212994,-323508.04304637195
212995,-323375.67694340204
212996,-574852.1565481023
212997,-355133.54522448103
212998,-355103.9609820266
212999,-864633.7012316616
213001,-313713.20653735584
213002,-313714.49847520783
213006,-313452.3181795157
213007,-315110.59118595556
213011,-317435.0374137545
213012,-317475.79105602443
213013,-321745.73722625134
213016,-323506.11074807716
213017,-323373.6742918751
213020,-355068.6796806373
213021,-313675.9970496246
213022,-313677.4296939411
213023,-433448.4226706248
213025,-313728.5023642097
213026,-313453.3643022215
213027,-315114.1700250211
213031,-317437.98307373014
213032,-317478.94777569675
213033,-321754.4439581804
213034,-462816.64596233505
213035,-546553.273613764
213036,-322822.7238475752
213037,-323487.440145143
213038,-323360.066490631
213039,-574814.6877517664
213040,-355137.7528263488
213041,-355107.94203631446
213043,-788665.6604847634
213048,-313677.813305144
213049,-313679.01940188056
213050,-433491.4945204695
213053,-313731.2557858155
213054,-313456.1880770596
213055,-315117.275212788
213056,-314808.48275359505
213059,-317440.52543563937
213060,-317481.63084407034
213061,-321797.5622716749
213064,-322825.7586821098
213065,-323500.6147554266
213066,-323366.3743202838
213068,-355140.4358947224
213069,-355070.236323217
213070,-976428.2841318127
213072,-313717.08737205673
213073,-313718.44966314104
213074,-433490.37980591116
213076,-313731.1260165081
213077,-313455.9176012878
213078,-315114.4016674243
213079,-314869.17933572957
