ID,Vehicles
20170701001,41.25
20170701011,43.0
20170701021,36.25
20170701031,39.75
20170701041,25.0
20170701051,23.75
20170701061,33.25
20170701071,33.75
20170701081,24.75
20170701091,37.0
20170701101,55.0
20170701111,67.75
20170701121,90.75
20170701131,63.75
20170701141,78.5
20170701151,70.25
20170701161,81.25
20170701171,62.0
20170701181,64.25
20170701191,59.25
20170701201,80.5
20170701211,82.25
20170701221,66.0
20170701231,61.0
20170702001,48.75
20170702011,34.75
20170702021,28.75
20170702031,27.5
20170702041,28.5
20170702051,35.25
20170702061,23.5
20170702071,28.0
20170702081,30.25
20170702091,39.75
20170702101,68.5
20170702111,57.0
20170702121,70.75
20170702131,39.0
20170702141,56.0
20170702151,48.25
20170702161,51.0
20170702171,48.0
20170702181,50.25
20170702191,54.0
20170702201,50.0
20170702211,54.75
20170702221,51.0
20170702231,64.25
20170703001,48.5
20170703011,45.25
20170703021,35.0
20170703031,29.5
20170703041,24.0
20170703051,29.5
20170703061,25.0
20170703071,29.0
20170703081,36.75
20170703091,31.75
20170703101,43.0
20170703111,46.0
20170703121,38.5
20170703131,39.25
20170703141,41.0
20170703151,34.0
20170703161,46.75
20170703171,35.75
20170703181,45.75
20170703191,56.0
20170703201,42.0
20170703211,42.5
20170703221,41.25
20170703231,54.25
20170704001,45.5
20170704011,29.0
20170704021,36.75
20170704031,22.5
20170704041,18.25
20170704051,23.5
20170704061,22.5
20170704071,28.25
20170704081,22.75
20170704091,30.0
20170704101,49.0
20170704111,69.5
20170704121,52.5
20170704131,63.5
20170704141,53.25
20170704151,64.75
20170704161,43.0
20170704171,53.75
20170704181,52.0
20170704191,50.75
20170704201,38.75
20170704211,47.0
20170704221,42.25
20170704231,52.5
20170705001,41.0
20170705011,36.25
20170705021,41.0
20170705031,19.0
20170705041,20.0
20170705051,21.5
20170705061,30.5
20170705071,25.0
20170705081,38.75
20170705091,54.5
20170705101,47.5
20170705111,61.25
20170705121,90.25
20170705131,47.75
20170705141,81.25
20170705151,63.75
20170705161,65.5
20170705171,53.75
20170705181,85.75
20170705191,72.25
20170705201,57.75
20170705211,57.75
20170705221,80.25
20170705231,64.5
20170706001,48.75
20170706011,52.25
20170706021,40.5
20170706031,27.25
20170706041,29.25
20170706051,32.25
20170706061,22.5
20170706071,48.75
20170706081,50.0
20170706091,56.5
20170706101,40.0
20170706111,62.0
20170706121,95.0
20170706131,69.5
20170706141,55.75
20170706151,75.75
20170706161,63.0
20170706171,43.75
20170706181,73.75
20170706191,94.75
20170706201,71.0
20170706211,86.5
20170706221,67.5
20170706231,38.0
20170707001,70.25
20170707011,44.0
20170707021,43.0
20170707031,34.0
20170707041,33.0
20170707051,31.25
20170707061,32.0
20170707071,39.25
20170707081,47.75
20170707091,54.0
20170707101,51.5
20170707111,73.0
20170707121,60.75
20170707131,63.0
20170707141,61.75
20170707151,77.75
20170707161,74.75
20170707171,76.75
20170707181,65.0
20170707191,65.75
20170707201,74.75
20170707211,57.75
20170707221,69.0
20170707231,53.25
20170708001,55.5
20170708011,62.75
20170708021,42.5
20170708031,34.25
20170708041,37.25
20170708051,30.25
20170708061,38.5
20170708071,38.5
20170708081,41.75
20170708091,38.5
20170708101,59.5
20170708111,70.5
20170708121,66.75
20170708131,83.75
20170708141,49.25
20170708151,68.5
20170708161,60.5
20170708171,74.0
20170708181,88.25
20170708191,60.0
20170708201,70.0
20170708211,85.25
20170708221,56.0
20170708231,58.25
20170709001,53.25
20170709011,42.25
20170709021,38.5
20170709031,30.5
20170709041,25.75
20170709051,25.0
20170709061,41.75
