Loan_ID,Interest_Rate
10164310,1
10164311,1
10164312,3
10164313,2
10164314,3
10164315,3
10164316,3
10164317,3
10164318,2
10164319,3
10164320,3
10164321,1
10164322,1
10164323,2
10164324,3
10164325,1
10164326,1
10164327,3
10164328,3
10164329,3
10164330,1
10164331,1
10164332,3
10164333,2
10164334,1
10164335,3
10164336,3
10164337,1
10164338,3
10164339,2
10164340,3
10164341,2
10164342,2
10164343,2
10164344,3
10164345,3
10164346,3
10164347,3
10164348,3
10164349,1
10164350,2
10164351,3
10164352,1
10164353,3
10164354,3
10164355,3
10164356,2
10164357,3
10164358,3
10164359,2
10164360,2
10164361,2
10164362,3
10164363,2
10164364,2
10164365,1
10164366,3
10164367,1
10164368,1
10164369,2
10164370,2
10164371,2
10164372,3
10164373,3
10164374,3
10164375,1
10164376,2
10164377,1
10164378,1
10164379,1
10164380,3
10164381,2
10164382,3
10164383,1
10164384,3
10164385,2
10164386,3
10164387,3
10164388,3
10164389,1
10164390,3
10164391,3
10164392,1
10164393,3
10164394,3
10164395,2
10164396,1
10164397,2
10164398,2
10164399,3
10164400,3
10164401,3
10164402,2
10164403,2
10164404,2
10164405,3
10164406,3
10164407,3
10164408,2
10164409,3
10164410,1
10164411,3
10164412,2
10164413,3
10164414,1
10164415,2
10164416,3
10164417,3
10164418,1
10164419,3
10164420,3
10164421,2
10164422,1
10164423,3
10164424,1
10164425,2
10164426,3
10164427,3
10164428,2
10164429,3
10164430,3
10164431,2
10164432,2
10164433,3
10164434,3
10164435,1
10164436,3
10164437,3
10164438,3
10164439,2
10164440,3
10164441,3
10164442,1
10164443,2
10164444,3
10164445,1
10164446,2
10164447,1
10164448,2
10164449,1
10164450,2
10164451,3
10164452,3
10164453,3
10164454,2
10164455,1
10164456,2
10164457,1
10164458,1
10164459,3
10164460,3
10164461,3
10164462,2
10164463,2
10164464,1
10164465,3
10164466,2
10164467,3
10164468,2
10164469,3
10164470,1
10164471,3
10164472,3
10164473,2
10164474,2
10164475,2
10164476,2
10164477,3
10164478,3
10164479,1
10164480,3
10164481,3
10164482,3
10164483,3
10164484,2
10164485,3
10164486,2
10164487,3
10164488,2
10164489,1
10164490,3
10164491,3
10164492,3
10164493,3
10164494,3
10164495,3
10164496,1
10164497,3
10164498,3
10164499,1
10164500,3
10164501,1
10164502,3
10164503,1
10164504,3
10164505,2
10164506,2
10164507,3
10164508,3
10164509,3
10164510,2
10164511,2
10164512,3
10164513,1
10164514,1
10164515,3
10164516,2
10164517,1
10164518,1
10164519,1
10164520,2
10164521,3
10164522,1
10164523,1
10164524,1
10164525,2
10164526,3
10164527,3
10164528,3
10164529,3
10164530,3
10164531,3
10164532,2
10164533,2
10164534,1
10164535,3
10164536,2
10164537,2
10164538,1
10164539,3
10164540,3
10164541,3
10164542,3
10164543,3
10164544,1
10164545,3
10164546,2
10164547,3
10164548,2
10164549,3
10164550,2
10164551,3
10164552,3
10164553,3
10164554,2
10164555,1
10164556,3
10164557,1
10164558,3
10164559,3
10164560,3
10164561,2
10164562,2
10164563,3
10164564,2
10164565,3
10164566,1
10164567,3
10164568,3
10164569,3
10164570,3
10164571,1
10164572,3
10164573,3
10164574,3
10164575,2
10164576,3
10164577,2
10164578,3
10164579,3
10164580,2
10164581,1
10164582,2
10164583,1
10164584,1
10164585,1
10164586,1
10164587,3
10164588,2
10164589,3
10164590,2
10164591,1
10164592,3
10164593,2
10164594,2
10164595,2
10164596,2
10164597,2
10164598,3
10164599,2
10164600,3
10164601,1
10164602,2
10164603,2
10164604,3
10164605,2
10164606,1
10164607,3
10164608,1
10164609,2
10164610,3
10164611,1
10164612,2
10164613,1
10164614,2
10164615,1
10164616,3
10164617,3
10164618,3
10164619,3
10164620,2
10164621,2
10164622,3
10164623,3
10164624,1
10164625,2
10164626,3
10164627,3
10164628,2
10164629,1
10164630,2
10164631,3
10164632,1
10164633,3
10164634,1
10164635,3
10164636,2
10164637,1
10164638,1
10164639,2
10164640,1
10164641,2
10164642,3
10164643,3
10164644,3
10164645,3
10164646,3
10164647,1
10164648,2
10164649,3
10164650,3
10164651,3
10164652,2
10164653,3
10164654,3
10164655,3
10164656,2
10164657,3
10164658,3
10164659,3
10164660,3
10164661,3
10164662,2
10164663,3
10164664,2
10164665,3
10164666,1
10164667,2
10164668,1
10164669,3
10164670,1
10164671,3
10164672,2
10164673,1
10164674,1
10164675,2
10164676,3
10164677,3
10164678,3
