date,location_identifier,transactions
01-01-2015,location_25,770
02-01-2015,location_1,2111
02-01-2015,location_2,2358
02-01-2015,location_3,3487
02-01-2015,location_4,1922
02-01-2015,location_5,1903
02-01-2015,location_6,2143
02-01-2015,location_7,1874
02-01-2015,location_8,3250
02-01-2015,location_9,2940
02-01-2015,location_10,1293
02-01-2015,location_11,3547
02-01-2015,location_12,1362
02-01-2015,location_13,1102
02-01-2015,location_14,2002
02-01-2015,location_15,1622
02-01-2015,location_16,1167
02-01-2015,location_17,1580
02-01-2015,location_18,1635
02-01-2015,location_19,1369
02-01-2015,location_23,1381
02-01-2015,location_24,2605
02-01-2015,location_25,1038
02-01-2015,location_26,1008
02-01-2015,location_27,1386
02-01-2015,location_28,950
02-01-2015,location_30,708
02-01-2015,location_31,1401
02-01-2015,location_32,776
02-01-2015,location_33,1163
02-01-2015,location_34,2724
02-01-2015,location_35,786
02-01-2015,location_37,1691
02-01-2015,location_38,1987
02-01-2015,location_39,1587
02-01-2015,location_40,1178
02-01-2015,location_41,915
02-01-2015,location_43,1385
02-01-2015,location_44,4821
02-01-2015,location_45,4208
02-01-2015,location_46,4886
02-01-2015,location_47,4161
02-01-2015,location_48,3397
02-01-2015,location_49,2346
02-01-2015,location_50,3077
02-01-2015,location_51,1985
02-01-2015,location_54,998
03-01-2015,location_1,1833
03-01-2015,location_2,2033
03-01-2015,location_3,3026
03-01-2015,location_4,1551
03-01-2015,location_5,1740
03-01-2015,location_6,1795
03-01-2015,location_7,1568
03-01-2015,location_8,2904
03-01-2015,location_9,2396
03-01-2015,location_10,1157
03-01-2015,location_11,2675
03-01-2015,location_12,1248
03-01-2015,location_13,916
03-01-2015,location_14,1823
03-01-2015,location_15,1512
03-01-2015,location_16,1101
03-01-2015,location_17,1339
03-01-2015,location_18,1484
03-01-2015,location_19,1098
03-01-2015,location_23,1181
03-01-2015,location_24,2462
03-01-2015,location_25,887
03-01-2015,location_26,813
03-01-2015,location_27,928
03-01-2015,location_28,749
03-01-2015,location_30,689
03-01-2015,location_31,1126
03-01-2015,location_32,727
03-01-2015,location_33,1168
03-01-2015,location_34,2348
03-01-2015,location_35,725
03-01-2015,location_37,1526
03-01-2015,location_38,1746
03-01-2015,location_39,1426
03-01-2015,location_40,1171
03-01-2015,location_41,809
03-01-2015,location_43,1334
03-01-2015,location_44,3618
03-01-2015,location_45,3314
03-01-2015,location_46,3438
03-01-2015,location_47,3660
03-01-2015,location_48,2887
03-01-2015,location_49,1702
03-01-2015,location_50,2307
03-01-2015,location_51,1644
03-01-2015,location_54,920
04-01-2015,location_1,1863
04-01-2015,location_2,2066
04-01-2015,location_3,3188
04-01-2015,location_4,1596
04-01-2015,location_5,1642
04-01-2015,location_6,1679
04-01-2015,location_7,1513
04-01-2015,location_8,2962
04-01-2015,location_9,1975
04-01-2015,location_10,970
04-01-2015,location_11,2515
04-01-2015,location_12,1064
04-01-2015,location_13,879
04-01-2015,location_14,1641
04-01-2015,location_15,1318
04-01-2015,location_16,977
04-01-2015,location_17,1139
04-01-2015,location_18,1238
04-01-2015,location_19,1003
04-01-2015,location_23,1257
04-01-2015,location_24,2607
04-01-2015,location_25,1054
04-01-2015,location_26,813
04-01-2015,location_27,1034
04-01-2015,location_28,651
04-01-2015,location_30,689
04-01-2015,location_31,1246
04-01-2015,location_32,680
04-01-2015,location_33,948
04-01-2015,location_34,2369
04-01-2015,location_35,630
04-01-2015,location_37,1701
04-01-2015,location_38,1723
04-01-2015,location_39,1285
04-01-2015,location_40,1044
04-01-2015,location_41,835
04-01-2015,location_43,1358
04-01-2015,location_44,4169
04-01-2015,location_45,3630
04-01-2015,location_46,3434
04-01-2015,location_47,3915
04-01-2015,location_48,2900
04-01-2015,location_49,2016
04-01-2015,location_50,2698
04-01-2015,location_51,1786
04-01-2015,location_54,794
05-01-2015,location_1,1509
05-01-2015,location_2,2062
05-01-2015,location_3,3623
05-01-2015,location_4,1825
05-01-2015,location_5,1643
05-01-2015,location_6,2154
05-01-2015,location_7,1599
05-01-2015,location_8,3060
05-01-2015,location_9,2604
05-01-2015,location_10,1269
05-01-2015,location_11,3052
05-01-2015,location_12,1293
05-01-2015,location_13,1336
05-01-2015,location_14,2052
05-01-2015,location_15,1543
05-01-2015,location_16,1109
05-01-2015,location_17,1433
05-01-2015,location_18,1323
05-01-2015,location_19,1713
05-01-2015,location_23,1250
05-01-2015,location_24,2578
05-01-2015,location_25,1355
05-01-2015,location_26,1081
05-01-2015,location_27,1327
05-01-2015,location_28,1033
05-01-2015,location_30,749
05-01-2015,location_31,1317
05-01-2015,location_32,890
05-01-2015,location_33,1217
05-01-2015,location_34,2599
05-01-2015,location_35,723
05-01-2015,location_37,1770
05-01-2015,location_38,2214
05-01-2015,location_39,1851
05-01-2015,location_40,1118
05-01-2015,location_41,1021
05-01-2015,location_43,1205
05-01-2015,location_44,4921
05-01-2015,location_45,4331
05-01-2015,location_46,4935
05-01-2015,location_47,4764
05-01-2015,location_48,4084
05-01-2015,location_49,2562
05-01-2015,location_50,3459
05-01-2015,location_51,2068
05-01-2015,location_54,949
06-01-2015,location_1,520
06-01-2015,location_2,1992
06-01-2015,location_3,3590
06-01-2015,location_4,1891
06-01-2015,location_5,1754
06-01-2015,location_6,2313
06-01-2015,location_7,1431
06-01-2015,location_8,2748
06-01-2015,location_9,2635
06-01-2015,location_10,1173
06-01-2015,location_11,3188
06-01-2015,location_12,1271
06-01-2015,location_13,1008
06-01-2015,location_14,1313
06-01-2015,location_15,1149
06-01-2015,location_16,1323
06-01-2015,location_17,1383
06-01-2015,location_18,1405
06-01-2015,location_19,1157
06-01-2015,location_23,1100
06-01-2015,location_24,2061
06-01-2015,location_25,716
06-01-2015,location_26,1075
06-01-2015,location_27,1614
06-01-2015,location_28,1207
06-01-2015,location_30,667
06-01-2015,location_31,1468
06-01-2015,location_32,772
06-01-2015,location_33,1302
06-01-2015,location_34,2377
06-01-2015,location_35,651
06-01-2015,location_37,1282
06-01-2015,location_38,2522
06-01-2015,location_39,1571
06-01-2015,location_40,1023
06-01-2015,location_41,1142
06-01-2015,location_43,1194
06-01-2015,location_44,4925
06-01-2015,location_45,4418
06-01-2015,location_46,5401
06-01-2015,location_47,4935
06-01-2015,location_48,4591
06-01-2015,location_49,2795
06-01-2015,location_50,3297
06-01-2015,location_51,1934
06-01-2015,location_54,1180
07-01-2015,location_1,1807
07-01-2015,location_2,1911
07-01-2015,location_3,2996
07-01-2015,location_4,1514
07-01-2015,location_5,1577
07-01-2015,location_6,1713
07-01-2015,location_7,1705
07-01-2015,location_8,2768
07-01-2015,location_9,2162
07-01-2015,location_10,1148
07-01-2015,location_11,2361
07-01-2015,location_12,1113
07-01-2015,location_13,921
07-01-2015,location_14,1671
07-01-2015,location_15,1413
07-01-2015,location_16,1066
07-01-2015,location_17,1292
07-01-2015,location_18,1369
07-01-2015,location_19,1137
07-01-2015,location_23,1185
07-01-2015,location_24,2320
07-01-2015,location_25,703
07-01-2015,location_26,792
07-01-2015,location_27,1093
07-01-2015,location_28,775
07-01-2015,location_30,663
07-01-2015,location_31,1170
07-01-2015,location_32,699
07-01-2015,location_33,1078
07-01-2015,location_34,2224
07-01-2015,location_35,568
07-01-2015,location_37,1450
07-01-2015,location_38,1549
07-01-2015,location_39,1356
07-01-2015,location_40,1148
07-01-2015,location_41,744
07-01-2015,location_43,1137
07-01-2015,location_44,3871
07-01-2015,location_45,3339
07-01-2015,location_46,3205
07-01-2015,location_47,3570
07-01-2015,location_48,2697
07-01-2015,location_49,1719
07-01-2015,location_50,2371
07-01-2015,location_51,1637
07-01-2015,location_54,890
08-01-2015,location_1,1869
08-01-2015,location_2,1856
08-01-2015,location_3,2826
08-01-2015,location_4,1397
08-01-2015,location_5,1504
08-01-2015,location_6,1555
08-01-2015,location_7,1524
08-01-2015,location_8,2639
08-01-2015,location_9,2206
08-01-2015,location_10,1100
08-01-2015,location_11,2388
08-01-2015,location_12,1130
08-01-2015,location_13,879
08-01-2015,location_14,1673
08-01-2015,location_15,1330
08-01-2015,location_16,1009
08-01-2015,location_17,1197
08-01-2015,location_18,1388
08-01-2015,location_19,1013
08-01-2015,location_23,1143
08-01-2015,location_24,2349
08-01-2015,location_25,626
08-01-2015,location_26,729
08-01-2015,location_27,999
08-01-2015,location_28,877
08-01-2015,location_30,701
08-01-2015,location_31,1200
08-01-2015,location_32,641
08-01-2015,location_33,1164
08-01-2015,location_34,2272
08-01-2015,location_35,555
08-01-2015,location_37,1366
08-01-2015,location_38,1331
08-01-2015,location_39,1417
08-01-2015,location_40,1090
08-01-2015,location_41,764
08-01-2015,location_43,1155
08-01-2015,location_44,3593
08-01-2015,location_45,3102
08-01-2015,location_46,3061
08-01-2015,location_47,3185
08-01-2015,location_48,2320
08-01-2015,location_49,1609
08-01-2015,location_50,2251
08-01-2015,location_51,1613
08-01-2015,location_54,729
09-01-2015,location_1,1910
09-01-2015,location_2,1975
09-01-2015,location_3,2932
09-01-2015,location_4,1533
09-01-2015,location_5,1513
09-01-2015,location_6,1702
09-01-2015,location_7,1525
09-01-2015,location_8,2802
09-01-2015,location_9,1976
09-01-2015,location_10,930
09-01-2015,location_11,2230
09-01-2015,location_12,1108
09-01-2015,location_13,831
09-01-2015,location_14,1591
09-01-2015,location_15,1276
09-01-2015,location_16,923
09-01-2015,location_17,1110
09-01-2015,location_18,1206
09-01-2015,location_19,960
09-01-2015,location_23,1127
09-01-2015,location_24,2354
09-01-2015,location_25,755
09-01-2015,location_26,738
09-01-2015,location_27,1033
09-01-2015,location_28,645
09-01-2015,location_30,627
09-01-2015,location_31,1007
09-01-2015,location_32,591
09-01-2015,location_33,976
09-01-2015,location_34,2101
09-01-2015,location_35,539
09-01-2015,location_37,1544
09-01-2015,location_38,1525
09-01-2015,location_39,1219
09-01-2015,location_40,939
09-01-2015,location_41,749
09-01-2015,location_43,1000
09-01-2015,location_44,4006
09-01-2015,location_45,3268
09-01-2015,location_46,2989
09-01-2015,location_47,3370
09-01-2015,location_48,2316
09-01-2015,location_49,1776
09-01-2015,location_50,2228
09-01-2015,location_51,1786
09-01-2015,location_54,730
10-01-2015,location_1,1679
10-01-2015,location_2,1761
10-01-2015,location_3,2649
10-01-2015,location_4,1326
10-01-2015,location_5,1449
10-01-2015,location_6,1422
10-01-2015,location_7,1487
10-01-2015,location_8,2545
10-01-2015,location_9,1942
10-01-2015,location_10,925
10-01-2015,location_11,2274
10-01-2015,location_12,1121
10-01-2015,location_13,877
10-01-2015,location_14,1423
10-01-2015,location_15,1317
10-01-2015,location_16,889
10-01-2015,location_17,1141
10-01-2015,location_18,1219
10-01-2015,location_19,960
10-01-2015,location_23,1024
10-01-2015,location_24,2226
10-01-2015,location_25,632
10-01-2015,location_26,710
10-01-2015,location_27,900
10-01-2015,location_28,700
10-01-2015,location_30,693
10-01-2015,location_31,1001
10-01-2015,location_32,603
10-01-2015,location_33,868
10-01-2015,location_34,2079
10-01-2015,location_35,553
10-01-2015,location_37,1323
10-01-2015,location_38,1323
10-01-2015,location_39,1209
10-01-2015,location_40,944
10-01-2015,location_41,649
10-01-2015,location_43,967
10-01-2015,location_44,3323
10-01-2015,location_45,2697
10-01-2015,location_46,2627
10-01-2015,location_47,2982
10-01-2015,location_48,2212
10-01-2015,location_49,1481
10-01-2015,location_50,2052
10-01-2015,location_51,1515
10-01-2015,location_54,684
11-01-2015,location_1,1813
11-01-2015,location_2,1786
11-01-2015,location_3,2954
11-01-2015,location_4,1398
11-01-2015,location_5,1446
11-01-2015,location_6,1563
11-01-2015,location_7,1497
11-01-2015,location_8,2858
11-01-2015,location_9,1750
11-01-2015,location_10,877
11-01-2015,location_11,2053
11-01-2015,location_12,1072
11-01-2015,location_13,825
11-01-2015,location_14,1412
11-01-2015,location_15,1168
11-01-2015,location_16,912
11-01-2015,location_17,986
11-01-2015,location_18,1221
11-01-2015,location_19,999
11-01-2015,location_23,1046
11-01-2015,location_24,2350
11-01-2015,location_25,979
11-01-2015,location_26,725
11-01-2015,location_27,856
11-01-2015,location_28,618
11-01-2015,location_30,623
11-01-2015,location_31,1011
11-01-2015,location_32,641
11-01-2015,location_33,893
11-01-2015,location_34,2407
11-01-2015,location_35,538
11-01-2015,location_37,1447
11-01-2015,location_38,1557
11-01-2015,location_39,1163
11-01-2015,location_40,970
11-01-2015,location_41,686
11-01-2015,location_43,1264
11-01-2015,location_44,3873
11-01-2015,location_45,3083
11-01-2015,location_46,2892
11-01-2015,location_47,3312
11-01-2015,location_48,2396
11-01-2015,location_49,1768
11-01-2015,location_50,2226
11-01-2015,location_51,1658
11-01-2015,location_54,766
12-01-2015,location_1,1473
12-01-2015,location_2,1998
12-01-2015,location_3,3407
12-01-2015,location_4,1543
12-01-2015,location_5,1553
12-01-2015,location_6,2020
12-01-2015,location_7,1416
12-01-2015,location_8,2936
12-01-2015,location_9,2271
12-01-2015,location_10,1120
12-01-2015,location_11,2603
12-01-2015,location_12,1241
12-01-2015,location_13,1179
12-01-2015,location_14,1939
12-01-2015,location_15,1396
12-01-2015,location_16,1045
12-01-2015,location_17,1385
12-01-2015,location_18,1217
12-01-2015,location_19,1521
12-01-2015,location_23,1208
12-01-2015,location_24,2346
12-01-2015,location_25,1368
12-01-2015,location_26,907
12-01-2015,location_27,1330
12-01-2015,location_28,890
12-01-2015,location_30,702
12-01-2015,location_31,1262
12-01-2015,location_32,822
12-01-2015,location_33,1108
12-01-2015,location_34,2591
12-01-2015,location_35,750
12-01-2015,location_37,1622
12-01-2015,location_38,2142
12-01-2015,location_39,1518
12-01-2015,location_40,1039
12-01-2015,location_41,861
12-01-2015,location_43,1142
12-01-2015,location_44,4423
12-01-2015,location_45,3927
12-01-2015,location_46,4263
12-01-2015,location_47,4278
12-01-2015,location_48,3355
12-01-2015,location_49,2309
12-01-2015,location_50,3258
12-01-2015,location_51,1873
12-01-2015,location_54,954
13-01-2015,location_1,542
13-01-2015,location_2,1988
13-01-2015,location_3,3217
13-01-2015,location_4,1873
13-01-2015,location_5,1510
13-01-2015,location_6,2219
13-01-2015,location_7,1328
13-01-2015,location_8,2765
13-01-2015,location_9,2457
13-01-2015,location_10,1013
13-01-2015,location_11,2875
13-01-2015,location_12,1166
13-01-2015,location_13,858
13-01-2015,location_14,1317
13-01-2015,location_15,1122
13-01-2015,location_16,1260
13-01-2015,location_17,1441
13-01-2015,location_18,1376
13-01-2015,location_19,1269
13-01-2015,location_23,1187
13-01-2015,location_24,2001
13-01-2015,location_25,748
13-01-2015,location_26,963
13-01-2015,location_27,1575
13-01-2015,location_28,1197
13-01-2015,location_30,686
13-01-2015,location_31,1467
13-01-2015,location_32,753
13-01-2015,location_33,1207
13-01-2015,location_34,2381
13-01-2015,location_35,657
13-01-2015,location_37,1210
13-01-2015,location_38,2256
13-01-2015,location_39,1630
13-01-2015,location_40,1048
13-01-2015,location_41,1120
13-01-2015,location_43,1145
13-01-2015,location_44,4676
13-01-2015,location_45,4345
13-01-2015,location_46,4713
13-01-2015,location_47,4796
13-01-2015,location_48,3993
13-01-2015,location_49,2662
13-01-2015,location_50,3261
13-01-2015,location_51,1808
13-01-2015,location_54,1225
14-01-2015,location_1,1780
14-01-2015,location_2,1713
14-01-2015,location_3,2785
14-01-2015,location_4,1321
14-01-2015,location_5,1457
14-01-2015,location_6,1545
14-01-2015,location_7,1629
14-01-2015,location_8,2622
14-01-2015,location_9,2009
14-01-2015,location_10,1000
14-01-2015,location_11,2056
14-01-2015,location_12,1147
14-01-2015,location_13,869
14-01-2015,location_14,1700
14-01-2015,location_15,1368
14-01-2015,location_16,977
14-01-2015,location_17,1209
14-01-2015,location_18,1314
14-01-2015,location_19,1115
14-01-2015,location_23,1138
14-01-2015,location_24,2341
14-01-2015,location_25,664
14-01-2015,location_26,758
14-01-2015,location_27,1005
14-01-2015,location_28,754
14-01-2015,location_30,690
14-01-2015,location_31,1181
14-01-2015,location_32,644
14-01-2015,location_33,1008
14-01-2015,location_34,2246
14-01-2015,location_35,579
14-01-2015,location_37,1305
14-01-2015,location_38,1502
14-01-2015,location_39,1248
14-01-2015,location_40,1109
14-01-2015,location_41,739
14-01-2015,location_43,1091
14-01-2015,location_44,3450
14-01-2015,location_45,2937
14-01-2015,location_46,2780
14-01-2015,location_47,3145
14-01-2015,location_48,2223
14-01-2015,location_49,1525
14-01-2015,location_50,2150
14-01-2015,location_51,1491
14-01-2015,location_54,759
15-01-2015,location_1,1680
15-01-2015,location_2,1806
15-01-2015,location_3,2757
15-01-2015,location_4,1385
15-01-2015,location_5,1450
15-01-2015,location_6,1619
15-01-2015,location_7,1603
15-01-2015,location_8,2558
15-01-2015,location_9,2163
15-01-2015,location_10,1070
15-01-2015,location_11,2152
15-01-2015,location_12,1180
15-01-2015,location_13,871
15-01-2015,location_14,1554
15-01-2015,location_15,1319
15-01-2015,location_16,1001
15-01-2015,location_17,1216
15-01-2015,location_18,1350
15-01-2015,location_19,1042
15-01-2015,location_23,1075
15-01-2015,location_24,2338
15-01-2015,location_25,644
15-01-2015,location_26,787
15-01-2015,location_27,953
15-01-2015,location_28,846
15-01-2015,location_30,754
15-01-2015,location_31,1184
15-01-2015,location_32,683
15-01-2015,location_33,1062
15-01-2015,location_34,2285
15-01-2015,location_35,619
15-01-2015,location_37,1406
15-01-2015,location_38,1395
15-01-2015,location_39,1318
15-01-2015,location_40,1153
15-01-2015,location_41,693
15-01-2015,location_43,1123
15-01-2015,location_44,3527
15-01-2015,location_45,3016
15-01-2015,location_46,2973
15-01-2015,location_47,3305
15-01-2015,location_48,2275
15-01-2015,location_49,1571
15-01-2015,location_50,2001
15-01-2015,location_51,1604
15-01-2015,location_54,768
16-01-2015,location_1,1933
16-01-2015,location_2,1988
16-01-2015,location_3,3108
16-01-2015,location_4,1557
16-01-2015,location_5,1461
16-01-2015,location_6,1677
16-01-2015,location_7,1619
16-01-2015,location_8,2820
16-01-2015,location_9,1981
16-01-2015,location_10,973
16-01-2015,location_11,2060
16-01-2015,location_12,1068
16-01-2015,location_13,767
16-01-2015,location_14,1406
16-01-2015,location_15,1222
16-01-2015,location_16,782
16-01-2015,location_17,1127
16-01-2015,location_18,1313
16-01-2015,location_19,986
16-01-2015,location_23,1124
16-01-2015,location_24,2555
16-01-2015,location_25,775
16-01-2015,location_26,786
16-01-2015,location_27,1070
16-01-2015,location_28,678
16-01-2015,location_30,678
16-01-2015,location_31,1096
16-01-2015,location_32,648
16-01-2015,location_33,1010
16-01-2015,location_34,2218
16-01-2015,location_35,597
16-01-2015,location_37,1495
16-01-2015,location_38,1483
16-01-2015,location_39,1047
16-01-2015,location_40,978
16-01-2015,location_41,736
16-01-2015,location_43,1037
16-01-2015,location_44,4026
16-01-2015,location_45,3183
16-01-2015,location_46,3034
16-01-2015,location_47,3406
16-01-2015,location_48,2343
16-01-2015,location_49,1780
16-01-2015,location_50,2302
16-01-2015,location_51,1852
16-01-2015,location_54,686
17-01-2015,location_1,1786
17-01-2015,location_2,1672
17-01-2015,location_3,2653
17-01-2015,location_4,1296
17-01-2015,location_5,1458
17-01-2015,location_6,1547
17-01-2015,location_7,1565
17-01-2015,location_8,2591
17-01-2015,location_9,1932
17-01-2015,location_10,960
17-01-2015,location_11,2167
17-01-2015,location_12,1186
17-01-2015,location_13,794
17-01-2015,location_14,1420
17-01-2015,location_15,1274
17-01-2015,location_16,973
17-01-2015,location_17,1128
17-01-2015,location_18,1249
17-01-2015,location_19,977
17-01-2015,location_23,1089
17-01-2015,location_24,2557
17-01-2015,location_25,640
17-01-2015,location_26,818
17-01-2015,location_27,1037
17-01-2015,location_28,820
17-01-2015,location_30,790
17-01-2015,location_31,1161
17-01-2015,location_32,726
17-01-2015,location_33,961
17-01-2015,location_34,2315
17-01-2015,location_35,555
17-01-2015,location_37,1258
17-01-2015,location_38,1342
17-01-2015,location_39,1194
17-01-2015,location_40,942
17-01-2015,location_41,728
17-01-2015,location_43,1011
17-01-2015,location_44,3412
17-01-2015,location_45,2773
17-01-2015,location_46,2807
17-01-2015,location_47,3217
17-01-2015,location_48,2234
17-01-2015,location_49,1568
17-01-2015,location_50,2012
17-01-2015,location_51,1551
17-01-2015,location_54,727
18-01-2015,location_1,1745
18-01-2015,location_2,1901
18-01-2015,location_3,2936
18-01-2015,location_4,1493
18-01-2015,location_5,1378
18-01-2015,location_6,1548
18-01-2015,location_7,1749
18-01-2015,location_8,2766
18-01-2015,location_9,1639
18-01-2015,location_10,852
18-01-2015,location_11,2133
18-01-2015,location_12,1039
18-01-2015,location_13,803
18-01-2015,location_14,1305
18-01-2015,location_15,1157
18-01-2015,location_16,906
18-01-2015,location_17,1035
18-01-2015,location_18,1209
18-01-2015,location_19,923
18-01-2015,location_23,1071
18-01-2015,location_24,2559
18-01-2015,location_25,971
18-01-2015,location_26,822
18-01-2015,location_27,1034
18-01-2015,location_28,709
18-01-2015,location_30,696
18-01-2015,location_31,1044
18-01-2015,location_32,619
18-01-2015,location_33,860
18-01-2015,location_34,2510
18-01-2015,location_35,519
18-01-2015,location_37,1458
18-01-2015,location_38,1591
18-01-2015,location_39,1162
18-01-2015,location_40,944
18-01-2015,location_41,727
18-01-2015,location_43,1323
18-01-2015,location_44,3801
18-01-2015,location_45,3263
18-01-2015,location_46,2907
18-01-2015,location_47,3302
18-01-2015,location_48,2341
18-01-2015,location_49,1804
18-01-2015,location_50,2242
18-01-2015,location_51,1796
18-01-2015,location_54,779
19-01-2015,location_1,1389
19-01-2015,location_2,2043
19-01-2015,location_3,3453
19-01-2015,location_4,1705
19-01-2015,location_5,1517
19-01-2015,location_6,2132
19-01-2015,location_7,1581
19-01-2015,location_8,2944
19-01-2015,location_9,2336
19-01-2015,location_10,1372
19-01-2015,location_11,2569
19-01-2015,location_12,1319
19-01-2015,location_13,1140
19-01-2015,location_14,2031
19-01-2015,location_15,1390
19-01-2015,location_16,1022
19-01-2015,location_17,1440
19-01-2015,location_18,1362
19-01-2015,location_19,1735
19-01-2015,location_23,1231
19-01-2015,location_24,2487
19-01-2015,location_25,1494
19-01-2015,location_26,961
19-01-2015,location_27,1382
19-01-2015,location_28,996
19-01-2015,location_30,715
19-01-2015,location_31,1386
19-01-2015,location_32,770
19-01-2015,location_33,1201
19-01-2015,location_34,2695
19-01-2015,location_35,816
19-01-2015,location_37,1630
19-01-2015,location_38,2154
19-01-2015,location_39,1633
19-01-2015,location_40,1034
19-01-2015,location_41,952
19-01-2015,location_43,1127
19-01-2015,location_44,4656
19-01-2015,location_45,3984
19-01-2015,location_46,4372
19-01-2015,location_47,4377
19-01-2015,location_48,3392
19-01-2015,location_49,2469
19-01-2015,location_50,3426
19-01-2015,location_51,1830
19-01-2015,location_54,908
20-01-2015,location_1,507
20-01-2015,location_2,2006
20-01-2015,location_3,3466
20-01-2015,location_4,1742
20-01-2015,location_5,1596
20-01-2015,location_6,2202
20-01-2015,location_7,1368
20-01-2015,location_8,2755
20-01-2015,location_9,2427
20-01-2015,location_10,1162
20-01-2015,location_11,2597
20-01-2015,location_12,1211
20-01-2015,location_13,947
20-01-2015,location_14,1333
20-01-2015,location_15,1110
20-01-2015,location_16,1184
20-01-2015,location_17,1419
20-01-2015,location_18,1347
20-01-2015,location_19,1142
20-01-2015,location_23,1099
20-01-2015,location_24,1908
20-01-2015,location_25,816
20-01-2015,location_26,986
20-01-2015,location_27,1515
20-01-2015,location_28,1179
20-01-2015,location_30,616
20-01-2015,location_31,1389
20-01-2015,location_32,801
20-01-2015,location_33,1133
20-01-2015,location_34,2324
20-01-2015,location_35,697
20-01-2015,location_37,1233
20-01-2015,location_38,2294
20-01-2015,location_39,1582
20-01-2015,location_40,924
20-01-2015,location_41,1020
20-01-2015,location_43,1061
20-01-2015,location_44,4732
20-01-2015,location_45,4169
20-01-2015,location_46,4696
20-01-2015,location_47,4877
20-01-2015,location_48,4044
